INFO 2025-07-16 16:17:45,586 autoreload 73144 8797069056 Watching for file changes with StatReloader
INFO 2025-07-16 16:36:05,373 basehttp 73144 6177992704 "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 19319
INFO 2025-07-16 16:36:05,379 basehttp 73144 6144339968 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-07-16 16:36:05,405 basehttp 73144 6144339968 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO 2025-07-16 16:36:05,449 basehttp 73144 6144339968 "GET /static/admin/img/search.svg HTTP/1.1" 200 458
INFO 2025-07-16 16:36:05,468 basehttp 73144 6177992704 "GET /static/admin/img/selector-icons.svg HTTP/1.1" 200 3291
INFO 2025-07-16 16:36:05,486 basehttp 73144 6211645440 "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
INFO 2025-07-16 16:36:05,487 basehttp 73144 6194819072 "GET /static/admin/img/icon-clock.svg HTTP/1.1" 200 677
INFO 2025-07-16 16:36:33,367 basehttp 73144 6144339968 "GET /admin/trips/trip/add/ HTTP/1.1" 200 31079
INFO 2025-07-16 16:36:33,418 basehttp 73144 6161166336 "GET /static/admin/js/inlines.js HTTP/1.1" 200 15628
INFO 2025-07-16 16:36:33,418 basehttp 73144 6144339968 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-07-16 16:36:33,428 basehttp 73144 6161166336 "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
INFO 2025-07-16 16:36:33,429 basehttp 73144 6144339968 "GET /static/admin/img/icon-unknown.svg HTTP/1.1" 200 655
INFO 2025-07-16 16:37:18,661 basehttp 73144 6144339968 "POST /admin/trips/trip/add/ HTTP/1.1" 200 31418
INFO 2025-07-16 16:37:18,692 basehttp 73144 6144339968 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-07-16 16:37:25,579 basehttp 73144 6144339968 "POST /admin/trips/trip/add/ HTTP/1.1" 302 0
INFO 2025-07-16 16:37:25,618 basehttp 73144 6144339968 "GET /admin/trips/trip/ HTTP/1.1" 200 15438
INFO 2025-07-16 16:37:25,669 basehttp 73144 6144339968 "GET /static/admin/css/changelists.css HTTP/1.1" 200 6878
INFO 2025-07-16 16:37:25,674 basehttp 73144 6144339968 "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2025-07-16 16:37:25,674 basehttp 73144 6161166336 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-07-16 16:37:25,690 basehttp 73144 6144339968 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
WARNING 2025-07-16 16:37:42,057 log 73144 6144339968 Unauthorized: /api/trips/
WARNING 2025-07-16 16:37:42,057 basehttp 73144 6144339968 "GET /api/trips/ HTTP/1.1" 401 172
INFO 2025-07-16 16:38:19,621 basehttp 73144 6144339968 "POST /api/auth/login/ HTTP/1.1" 200 854
INFO 2025-07-16 16:38:59,249 basehttp 73144 6144339968 "GET /api/trips/ HTTP/1.1" 200 447
INFO 2025-07-16 16:48:11,317 basehttp 73144 6161166336 "POST /api/auth/login/ HTTP/1.1" 200 854
INFO 2025-07-16 16:51:42,406 basehttp 73144 6177992704 "POST /api/auth/login/ HTTP/1.1" 200 854
WARNING 2025-07-16 16:52:09,214 log 73144 6177992704 Unauthorized: /api/trips/
WARNING 2025-07-16 16:52:09,214 basehttp 73144 6177992704 "GET /api/trips/ HTTP/1.1" 401 172
WARNING 2025-07-16 16:55:49,225 log 73144 6194819072 Bad Request: /api/auth/login/
WARNING 2025-07-16 16:55:49,226 basehttp 73144 6194819072 "POST /api/auth/login/ HTTP/1.1" 400 37
INFO 2025-07-16 16:56:11,053 basehttp 73144 6194819072 "POST /api/auth/login/ HTTP/1.1" 200 854
WARNING 2025-07-16 16:56:25,797 log 73144 6194819072 Unauthorized: /api/trips/
WARNING 2025-07-16 16:56:25,799 basehttp 73144 6194819072 "GET /api/trips/ HTTP/1.1" 401 172
WARNING 2025-07-16 16:56:39,492 log 73144 6194819072 Unauthorized: /api/auth/me/
WARNING 2025-07-16 16:56:39,493 basehttp 73144 6194819072 "GET /api/auth/me/ HTTP/1.1" 401 172
WARNING 2025-07-16 17:02:38,466 log 73144 6211645440 Bad Request: /api/auth/login/
WARNING 2025-07-16 17:02:38,467 basehttp 73144 6211645440 "POST /api/auth/login/ HTTP/1.1" 400 42
INFO 2025-07-16 17:02:51,133 basehttp 73144 6211645440 "POST /api/auth/login/ HTTP/1.1" 200 854
WARNING 2025-07-16 17:03:00,011 log 73144 6211645440 Unauthorized: /api/trips/
WARNING 2025-07-16 17:03:00,012 basehttp 73144 6211645440 "GET /api/trips/ HTTP/1.1" 401 172
INFO 2025-07-16 17:04:09,028 basehttp 73144 6228471808 "GET /api/trips/ HTTP/1.1" 200 447
INFO 2025-07-16 17:04:25,928 basehttp 73144 6228471808 "GET /api/trips/1/ HTTP/1.1" 200 466
ERROR 2025-07-16 17:06:50,260 log 73144 6245298176 Internal Server Error: /api/places/search/
ERROR 2025-07-16 17:06:50,261 basehttp 73144 6245298176 "GET /api/places/search/?q=restaurants%20in%20san%20francisco HTTP/1.1" 500 70
INFO 2025-07-16 17:07:21,464 basehttp 73144 6245298176 "GET /api/weather/current/?lat=37.7749&lng=-122.4194 HTTP/1.1" 200 186
INFO 2025-07-16 17:07:30,721 basehttp 73144 6245298176 "GET /api/weather/forecast/?stops=[{%22latitude%22:%2037.7749,%20%22longitude%22:%20-122.4194},%20{%22latitude%22:%2037.8199,%20%22longitude%22:%20-122.4783}] HTTP/1.1" 200 16
ERROR 2025-07-16 17:07:39,199 log 73144 6245298176 Internal Server Error: /api/recommendations/
ERROR 2025-07-16 17:07:39,199 basehttp 73144 6245298176 "GET /api/recommendations/?lat=37.7749&lng=-122.4194 HTTP/1.1" 500 70
INFO 2025-07-16 17:11:15,200 autoreload 73144 8797069056 /Users/braddr/Documents/Code/Personal Projects/roadTrip_planner/backend/apps/places/views.py changed, reloading.
INFO 2025-07-16 17:11:16,518 autoreload 84376 8797069056 Watching for file changes with StatReloader
INFO 2025-07-16 17:12:55,411 autoreload 84376 8797069056 /Users/braddr/Documents/Code/Personal Projects/roadTrip_planner/backend/apps/places/views.py changed, reloading.
INFO 2025-07-16 17:12:57,007 autoreload 84782 8797069056 Watching for file changes with StatReloader
INFO 2025-07-16 17:14:28,239 autoreload 84782 8797069056 /Users/braddr/Documents/Code/Personal Projects/roadTrip_planner/backend/apps/places/views.py changed, reloading.
INFO 2025-07-16 17:14:29,526 autoreload 85009 8797069056 Watching for file changes with StatReloader
INFO 2025-07-16 17:15:55,159 autoreload 85009 8797069056 /Users/braddr/Documents/Code/Personal Projects/roadTrip_planner/backend/apps/places/views.py changed, reloading.
INFO 2025-07-16 17:15:56,163 autoreload 85300 8797069056 Watching for file changes with StatReloader
INFO 2025-07-16 17:17:12,997 autoreload 85300 8797069056 /Users/braddr/Documents/Code/Personal Projects/roadTrip_planner/backend/apps/recommendations/views.py changed, reloading.
INFO 2025-07-16 17:17:14,495 autoreload 85484 8797069056 Watching for file changes with StatReloader
WARNING 2025-07-16 17:31:56,628 views 85484 6132133888 Google Places API failed: Error 61 connecting to 127.0.0.1:6379. Connection refused.
INFO 2025-07-16 17:31:56,630 basehttp 85484 6132133888 "GET /api/places/search/?q=restaurants%20in%20san%20francisco HTTP/1.1" 200 950
